"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"500745958582255616","","","2014-08-16 20:48:34 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#keepdavidgregory: While Chuck Todd is fine, Gregory should stay as #meetthepress host.
He's perfect on Sunday mornings.","","","",""
"499748660776009728","499747927808815105","14599470","2014-08-14 02:45:40 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@MuggleNet @Oreo yum-a-mora!","","","",""
"499601252515205120","","","2014-08-13 16:59:55 +0000","<a href=""http://www.cloudhopper.com/"" rel=""nofollow"">Cloudhopper</a>","I'll get to work on ULI story now for Saturday and alert hieu.","","","",""
"498573565781102593","","","2014-08-10 20:56:15 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ConCen &amp; stadium next step: who's got the money and how much is it really? http://t.co/dX6UynSoLk","","","","http://m.utsandiego.com/news/2014/aug/09/convention-stadium-options-jmi-chargers/"
"498181038099922944","","","2014-08-09 18:56:29 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","New proposals for downtown stadium and convention center expansion: http://t.co/HvEaSew1UD","","","","http://ow.ly/A9hvV"
"497496255489380352","","","2014-08-07 21:35:25 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Convention center update:  http://t.co/mUer4uazQR","","","","http://ow.ly/A5fAU"
"497489291384475649","","","2014-08-07 21:07:44 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","San Diego Convention Center appeal update: City Council met behind closed doors Thursday and in open session, the city attorney's office...","","","",""
"497457360362045443","","","2014-08-07 19:00:51 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","SD is 6th 'coolest' city in USA, Forbes says in ranking 25 cities. Other Calif cities: San Francisco, 5; Riverside, 8; Oakland, 12;...","","","",""
"496412671861088256","","","2014-08-04 21:49:38 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","UCSD: 11th ugliest campus? We can't all be ivy covered cloisters. http://t.co/aUpfsCwxjr","","","","http://www.utsandiego.com/news/2014/aug/04/UCSD-ugly-dailycaller/"
"496123989845377025","","","2014-08-04 02:42:31 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","From Puerto Nuevo to NYC to Portland, Maine (!). http://t.co/NMdXDMRRO8","","","","http://twitter.com/rogershowley/status/496123989845377025/photo/1"
"495291312351248384","","","2014-08-01 19:33:45 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Top San Diego city planner Bill Fulton leaving SD for Texas http://t.co/em1iFMutzj","","","","http://ow.ly/zR4NK"
"495291047899983872","","","2014-08-01 19:32:42 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Fulton out as top city planner http://t.co/kx1LIiXZzT via @utsandiego","","","","http://www.utsandiego.com/news/2014/aug/01/fulton-planning-rice-resign/"
"494975710583209984","","","2014-07-31 22:39:40 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Million-dollar home sales: 1st half of 2014  - http://t.co/WATcNcedxe","","","","http://www.utsandiego.com/news/2014/jul/31/million-dollar-home-sales-first-half-year/"
"493878832076955648","","","2014-07-28 22:01:04 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Horton Plaza expansion can now move forward with state OK of $17.7m budget.  http://t.co/kDOgjl8ROD","","","","http://ow.ly/zFQ7m"
"493164830946107393","493133778580410370","21351094","2014-07-26 22:43:52 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@ColinParent there should be deflating button while they're parked.","","","",""
"493161301409931264","","","2014-07-26 22:29:51 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","http://t.co/yp4Vr7EtsJ #sdcc + #glq = urban gridlock.","","","","http://instagram.com/p/q7imtunex3/"
"493011635536023553","","","2014-07-26 12:35:08 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","I made this then/now mashup with the Historic St. Louis iPhone app http://t.co/E7Iby6WelM http://t.co/DsV43zy1pC","","","","http://www.mohistory.org/education-and-events/audio-tours/historicSTL,http://twitter.com/rogershowley/status/493011635536023553/photo/1"
"492397437311385600","492373702453907456","22650153","2014-07-24 19:54:32 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@loriweisberg Your battery will die with all #sdcc photo opps. Get a charger.","","","",""
"492397121752952832","","","2014-07-24 19:53:16 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","http://t.co/dZqzNLvTod San Diego's spider men, mayor and council prez Zipline at #sdcc. SD needs a permanent  Zipline from PtLoma to NIsl.","","","","http://instagram.com/p/q19pcFmkVk/"
"492143751079284737","","","2014-07-24 03:06:28 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#SDCC2014 Chris Rose as #rexodus- a new comic about dinos who never died. http://t.co/fLE76YV4KK","","","","http://twitter.com/rogershowley/status/492143751079284737/photo/1,http://twitter.com/rogershowley/status/492143751079284737/photo/1"
"492134499300286464","","","2014-07-24 02:29:42 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","The line starts here at #sdcc http://t.co/7Cxv06quLP","","","","http://twitter.com/rogershowley/status/492134499300286464/photo/1"
"492123669968072704","","","2014-07-24 01:46:40 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Slam Ciry stars, roger and diana at #sdcc http://t.co/s8Bh1tzdz1","","","","http://twitter.com/rogershowley/status/492123669968072704/photo/1"
"492120115878432768","","","2014-07-24 01:32:33 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Matt Hall scores poos at #sdcc http://t.co/sS5uSxBW1G","","","","http://twitter.com/rogershowley/status/492120115878432768/photo/1"
"492116868354686976","492116064377925633","161669450","2014-07-24 01:19:39 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@SDuncovered better invest in battery pack! $29","","","",""
"492111755447775234","","","2014-07-24 00:59:20 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Special rate for #comiccon. http://t.co/FWoMvhlFju","","","","http://twitter.com/rogershowley/status/492111755447775234/photo/1"
"491365668076679168","","","2014-07-21 23:34:39 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Horton Plaza budget off to state: http://t.co/FRmYLYsBpA","","","","http://ow.ly/zqkLa"
"490296508768862208","","","2014-07-19 00:46:11 +0000","<a href=""http://www.cloudhopper.com/"" rel=""nofollow"">Cloudhopper</a>","But you're not stopping to smell the colored pavement.","","","",""
"490295384896315392","490292003884646400","227109533","2014-07-19 00:41:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@AlvarezSD @hblackson @BikeSD Re Plaza de Panama (no cars, but people) - it needs more love to be lovely.","","","",""
"490294923011174401","","","2014-07-19 00:39:53 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @hblackson: I'd say the #PlazadePanam transformation passed the test. Need to program it: #1 get people sitting on the fountain. http://…","490258470994587648","76563605","2014-07-18 22:15:02 +0000","http://twitter.com/hblackson/status/490258470994587648/photo/1,http://twitter.com/hblackson/status/490258470994587648/photo/1"
"490294671881420800","","","2014-07-19 00:38:53 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","No streaming fountains for Qualcomm:  http://t.co/mrexeZ5yHk, @SDReader","","","","http://www.sandiegoreader.com/news/2014/jul/16/radar-fountain-traffic/"
"490264460125155328","","","2014-07-18 22:38:50 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","New poll shows sliding optimism among local San Diego businesses and some consideration for moving out of the county. http://t.co/cdvRcbxMUV","","","","http://ow.ly/zkHYt"
"489563067018387456","","","2014-07-17 00:11:45 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Fresh fish, San Diego? Try this:  http://t.co/I0Qbb9gp9U ^rs","","","","http://ow.ly/zfrQ7"
"489305217377128449","","","2014-07-16 07:07:09 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#HarryPotter's Dan Radcliffe appearing for 1st time at #comicon2014 - noon Friday hall h.","","","",""
"487491770888892416","","","2014-07-11 07:01:10 +0000","<a href=""http://www.cloudhopper.com/"" rel=""nofollow"">Cloudhopper</a>","Nice! If you can ever
get thru the line.","","","",""
"487375951127269376","","","2014-07-10 23:20:56 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","I got 6 out of 10 correct! How Well Do You Know Disneyland's Main Street, U.S.A.? | Disney Insider http://t.co/TDcyZyIY73","","","","http://blogs.disney.com/insider/2014/07/09/how-well-do-you-know-disneylands-main-street-u-s-a/"
"487286939922735104","","","2014-07-10 17:27:14 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Coastal Commission v. Navy and Doug Manchester: Commission met Wed. 7/9 but didn't announce an appeal on Navy Broadway Complex ruling...","","","",""
"487018572640571392","","","2014-07-09 23:40:50 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Linkage fees proposed to double http://t.co/efd9uRUY60 via @utsandiego","","","","http://www.utsandiego.com/news/2014/jul/09/linkage-fee-double-reform/"
"486748853643649024","","","2014-07-09 05:49:04 +0000","<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Charlie finally gets religion and switches to Mac. http://t.co/OGrSijq5kl","","","","http://twitter.com/rogershowley/status/486748853643649024/photo/1"
"485556582294360065","","","2014-07-05 22:51:25 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#WorldCup2014 hup hup holland!!!!!!!!","","","",""
